DATE,SAHMREALTIME,T10YIE,GEPUCURRENT,NFCI,^MOVE,^SKEW,USD_Log_Ret_1M
2006-02-28,-0.07,2.53,58.94786492964828,-0.633,56.86000061035156,124.61000061035156,0.0033975833961211116
2006-03-31,-0.07,2.51,58.258757759219925,-0.628,68.5999984741211,115.72000122070312,0.007892038895645034
2006-04-30,0.0,2.68,71.35189610192259,-0.619,63.0,125.19999694824219,-0.024347306264787302
2006-05-31,-0.07,2.64,63.048925396226345,-0.582,67.0999984741211,121.97000122070312,-0.0037843624695389866
2006-06-30,-0.03,2.61,72.2382294714646,-0.53,65.5,118.27999877929688,0.004875052253027503
2006-07-31,0.03,2.58,69.32771057749316,-0.559,63.400001525878906,121.63999938964844,-0.0025345507711043154
2006-08-31,0.07,2.5,60.12461270391818,-0.603,59.79999923706055,123.22000122070312,-0.0036351855270683724
2006-09-30,0.07,2.37,58.189343527202816,-0.606,63.099998474121094,120.08999633789062,0.004714199425388103
2006-10-31,-0.07,2.27,61.06836574420236,-0.628,60.900001525878906,111.4800033569336,-0.007317848155861804
2006-11-30,-0.07,2.3,58.2593072502782,-0.628,68.5,124.0,-0.0083746261952692
2006-12-31,-0.03,2.3,57.41511922669258,-0.634,66.80000305175781,121.25,0.004682639693035596
2007-01-31,0.07,2.43,64.46652923998974,-0.68,61.599998474121094,118.58000183105469,0.009567487973568215
2007-02-28,0.07,2.36,54.743006166322544,-0.662,69.80000305175781,121.36000061035156,-0.007432312266440416
2007-03-31,0.03,2.44,64.72710807948097,-0.606,67.9000015258789,120.88999938964844,-0.009509420073845629
2007-04-30,0.0,2.43,60.55719756919328,-0.587,59.79999923706055,123.37000274658203,-0.015503975646675624
2007-05-31,0.0,2.36,57.153401744199,-0.552,58.900001525878906,123.83999633789062,-0.005445196845872504
2007-06-30,0.03,2.38,56.36856817879367,-0.522,77.5,115.72000122070312,-0.0019335591992093225
2007-07-31,0.07,2.34,47.588486288361146,-0.29,96.4000015258789,115.52999877929688,-0.007601639669756528
2007-08-31,0.1,2.2,78.3478431166976,0.205,111.0,117.26000213623047,0.0025762492749014355
2007-09-30,0.17,2.32,99.76642525583352,0.077,103.69999694824219,119.97000122070312,-0.029499679897037855
2007-10-31,0.2,2.34,79.31186435922832,-0.001,90.18000030517578,116.87999725341797,-0.020054702616282408
2007-11-30,0.23,2.34,82.9155522032911,0.48,131.5,111.8499984741211,0.005396071833523891
2007-12-31,0.4,2.31,96.76560774345415,0.521,145.39999389648438,111.6500015258789,0.00010264901410175341
2008-01-31,0.4,2.34,134.64482218286452,0.412,153.6999969482422,106.43000030517578,-0.010945499551458782
2008-02-29,0.43,2.43,99.41459408000448,0.788,155.1999969482422,110.19000244140625,-0.016941585416802532
2008-03-31,0.47,2.34,119.60275977856372,0.946,145.5,110.36000061035156,-0.005490843718307431
2008-04-30,0.5,2.27,91.66161896115814,0.651,119.0999984741211,112.4800033569336,0.0023343875174090664
2008-05-31,0.73,2.48,78.03404971021446,0.505,130.1999969482422,113.52999877929688,-0.003924103764081841
2008-06-30,0.8,2.51,87.02071734832482,0.713,126.0,112.0,0.0024429871508257314
2008-07-31,0.97,2.34,96.362753792134,0.716,131.6999969482422,110.66000366210938,0.001089743845272464
2008-08-31,1.1,2.15,90.2485006521332,0.842,103.0,110.58000183105469,0.03617983774992982
2008-09-30,1.27,1.6,162.48055542344937,1.794,208.5,111.43000030517578,0.025441805506330278
2008-10-31,1.5,0.87,208.55935525706133,2.788,207.1999969482422,122.19000244140625,0.07694817112867616
2008-11-30,1.7,0.33,143.5350557937066,3.064,214.0,113.12000274658203,0.01867461040966548
2008-12-31,2.07,0.11,144.60486321999096,2.711,190.0,116.5,-0.02990758038069179
2009-01-31,2.37,1.14,145.30676023297832,2.132,162.89999389648438,115.87999725341797,0.03452175684156206
2009-02-28,2.77,0.96,147.44491738946704,2.135,166.60000610351562,114.25,0.02715997732370144
2009-03-31,3.13,1.28,132.28776741479626,1.925,117.30000305175781,112.87000274658203,-0.024624925866565266
2009-04-30,3.53,1.47,102.29239178025952,1.379,124.19999694824219,114.86000061035156,-0.02244164344333421
2009-05-31,3.73,1.8,103.91299609212474,0.876,165.39999389648438,122.98999786376953,-0.04951767095194228
2009-06-30,3.9,1.75,116.62711109185172,0.725,162.5,117.02999877929688,0.011564273035759347
2009-07-31,3.8,1.81,106.25893991265356,0.418,138.5,108.94000244140625,-0.022279833412211642
2009-08-31,3.67,1.64,103.04966252756878,0.231,130.6999969482422,120.13999938964844,0.003892571764273888
2009-09-30,3.57,1.75,105.98612316655009,0.105,113.80000305175781,120.86000061035156,-0.015223052613872827
2009-10-31,3.57,2.0,92.06770750862844,0.024,113.5,122.75,-0.0061352725179769155
2009-11-30,3.47,2.08,104.98010791148248,-0.029,86.0999984741211,122.91000366210938,-0.013576856280245487
2009-12-31,3.07,2.37,102.3738053721924,-0.147,107.5,125.6500015258789,0.01672131126268231
2010-01-31,2.57,2.33,117.67233394351534,-0.197,86.30000305175781,117.5,0.009121740248278139
2010-02-28,2.03,2.13,114.12997789513584,-0.242,81.19999694824219,120.12999725341797,-0.0011055148812461992
2010-03-31,1.53,2.24,114.16618394477352,-0.414,85.30000305175781,123.69999694824219,-0.00816368695597718
2010-04-30,1.2,2.4,108.80332595303652,-0.348,85.5,125.41000366210938,-0.0006072972766747466
2010-05-31,0.8,1.99,147.35271747551585,-0.068,112.0999984741211,123.12999725341797,0.03663034396702214
2010-06-30,0.43,1.82,138.05363589359015,-0.069,89.69999694824219,116.87000274658203,-0.0032532597663408654
2010-07-31,0.13,1.8,148.44795299764223,-0.243,78.19999694824219,119.52999877929688,-0.028681220818586265
2010-08-31,0.0,1.52,123.34952702944828,-0.267,103.69999694824219,115.0199966430664,0.015331175813891379
2010-09-30,0.03,1.78,133.26876057141027,-0.329,85.0999984741211,120.4800033569336,-0.03632416431877458
2010-10-31,0.07,2.13,126.83336865932203,-0.43,99.80000305175781,116.04000091552734,-0.013757209833421711
2010-11-30,0.13,2.07,131.48753550780663,-0.447,101.9000015258789,116.70999908447266,0.022563153023910654
2010-12-31,0.1,2.3,134.76192624958907,-0.52,110.4000015258789,120.73999786376953,-0.017900009310369204
2011-01-31,-0.13,2.34,114.31861704313935,-0.591,96.19999694824219,130.3000030517578,-0.009107286465664634
2011-02-28,-0.3,2.39,96.57907686329663,-0.571,90.5,129.3699951171875,-0.00845201134555178
2011-03-31,-0.2,2.48,130.36071276295712,-0.546,90.9000015258789,124.63999938964844,-0.010275336354082603
2011-04-30,0.0,2.57,118.82751569774082,-0.597,76.80000305175781,127.44999694824219,-0.02799241457308282
2011-05-31,0.07,2.25,93.95926547927444,-0.559,71.5,123.91000366210938,0.01226214292704016
2011-06-30,0.2,2.43,124.5244222598764,-0.518,88.9000015258789,122.08999633789062,-0.002049273363994496
2011-07-31,0.23,2.44,153.82885984326128,-0.393,88.0,120.6500015258789,-0.00871515816622397
2011-08-31,0.23,2.05,216.75711838429405,-0.137,97.9000015258789,120.01000213623047,0.012124058885851684
2011-09-30,0.2,1.75,194.41022780761008,-0.038,100.5999984741211,114.83000183105469,0.05848051792824564
2011-10-31,0.17,2.09,166.33759690386063,-0.103,107.19999694824219,120.69000244140625,-0.030845948272433813
2011-11-30,0.0,2.05,191.7761114204524,-0.073,99.69999694824219,116.55999755859375,0.025101205467894246
2011-12-31,-0.17,1.96,178.07909760261643,-0.149,91.0999984741211,116.20999908447266,0.010368827909451803
2012-01-31,-0.2,2.11,154.60602395879903,-0.323,72.0999984741211,121.95999908447266,-0.020466339024890732
2012-02-29,-0.13,2.26,141.12412244454077,-0.408,75.9000015258789,124.58999633789062,-0.008930606629836586
2012-03-31,-0.1,2.32,132.41014631139356,-0.435,78.5999984741211,124.97000122070312,0.00788648320909784
2012-04-30,-0.07,2.25,129.83842375850955,-0.378,62.900001525878906,119.83000183105469,-0.001060707632298752
2012-05-31,-0.03,2.09,159.69718380001015,-0.262,74.4000015258789,119.31999969482422,0.04672261133514494
2012-06-30,0.0,2.13,183.18487261203407,-0.276,73.19999694824219,119.08999633789062,-0.01893495209344069
2012-07-31,0.07,2.2,152.0852124452586,-0.368,69.80000305175781,113.98999786376953,-0.0007256995943829732
